;2024;2023;2022;2021;2020;2019
Pendapatan Non Investasi; 10.411.749.661.628 ; 13.644.235.295.100 ; 32.228.013.336.969 ; 10.657.824.909.555 ; 9.767.986.602.823 ; 10.187.746.344.771 
Pendapatan Investasi; 9.011.566.535.853 ; 8.487.018.199.018 ; 9.027.881.205.692 ; 9.776.555.299.210 ; 9.830.261.291.239 ; 9.114.596.578.354 
Total Pendapatan; 19.423.316.197.481 ; 22.131.253.494.118 ; 41.255.894.542.661 ; 20.434.380.208.765 ; 19.598.247.894.062 ; 19.302.342.923.125 
Jumlah beban klaim dan mafaat;16.333.036.580.042;19.513.835.115.475; 39.871.451.251.439 ; 18.823.948.652.955 ; 17.607.663.271.726 ; 17.715.907.447.323 
Beban investasi ;10.210.737.093;8.297.019.837; 9.244.011.924 ; 14.780.628.011 ; 25.880.383.944 ; 16.558.453.338 
Beban non investasi; 1.800.911.448.894 ; 1.848.101.445.335 ; 1.336.987.166.447 ; 1.397.932.217.509 ; 1.465.477.177.177 ; 1.436.122.091.746 
Jumlah beban usaha entitas induk; 1.811.122.185.987 ; 1.856.398.465.172 ; 1.346.231.178.371 ; 1.412.712.845.520 ; 1.491.357.561.121 ; 1.452.680.545.084 
Beban usaha entitas anak;288.538.141.918; 273.332.523.179 ; 256.316.059.679 ; 365.907.073.327 ; 214.429.357.697 ; 245.226.187.865 
Jumlah beban usaha; 2.099.660.327.905 ; 2.129.730.988.351 ; 1.602.547.238.050 ; 1.778.619.918.847 ; 1.705.786.918.818 ; 1.697.906.732.949 
Penggantian BOP Pensiun;-662.738.398.520;-663.225.545.088;-613.598.918.605;-682.357.077.280;-656.428.980.404;-717.538.351.455
Beban di luar usaha; 13.066.118.938 ;16.421.206.803; 13.145.756.991 ; 29.856.404.590 ; 27.335.048.092 ; 12.516.019.423 
Total Beban; 17.783.024.628.365 ;20.996.761.765.541; 40.873.545.327.875 ; 19.950.067.899.112 ; 18.684.356.258.232 ; 18.708.791.848.240 
Laba/Rugi Tahun Berjalan; 1.242.133.516.273 ;804.768.210.368; 113.845.001.336 ; 377.607.331.912 ; 731.418.336.952 ; 394.911.063.485 
