NO,PERIOD,INCOME AIP,OUTCOME AIP,INCOME THT,OUTCOME THT,INCOME JKK,OUTCOME JKK,INCOME JKM,OUTCOME JKM,INCOME KAI,OUTCOME KAI
1,Sep-24,11.455.942.761.950,11.450.331.083.486,4.738.421.741.218,4.752.873.927.149,178.343.000.338,169.335.023.100,292.342.426.424,281.017.995.650,153.144.015.776,139.467.876.462
2,Oct-24,16.227.848.317.135,16.213.013.005.150,3.763.183.349.800,3.708.735.715.511,341.936.478.848,319.925.056.547,270.225.015.958,269.710.995.224,170.914.656.207,146.127.037.415
3,Nov-24,19.548.039.340.783,19.536.642.214.553,9.118.129.128.809,9.088.481.475.291,203.008.997.959,193.819.203.556,297.860.373.465,291.805.990.804,249.704.318.514,238.267.217.242
4,Dec-24,40.812.628.333.475,40.801.236.320.356,6.974.322.486.321,6.448.351.074.690,1.232.205.089.231,403.435.692.818,345.526.259.251,333.259.042.883,239.534.860.261,225.492.163.672
5,Jan-25,18.927.629.120.079,18.144.023.951.752,7.620.011.811.512,7.600.391.092.370,415.742.775.278,403.435.692.818,306.724.570.498,297.806.838.362,158.202.348.626,149.115.664.883
6,Feb-25,16.785.253.300.558,16.688.071.182.566,5.703.678.843.533,5.675.823.697.750,194.376.414.424,183.373.997.041,302.599.905.158,295.063.177.865,332.173.328.085,321.980.917.825
7,Mar-25,8.753.009.855.815,8.742.504.078.481,3.830.352.528.576,3.811.867.881.456,593.983.113.772,582.614.277.999,351.950.834.890,342.620.119.766,185.959.804.514,176.640.897.571
8,Apr-25,8.617.414.445.389,8.607.720.412.492,3.498.245.543.917,3.482.207.491.090,204.908.502.536,193.997.247.682,337.897.529.878,328.315.020.113,164.581.226.451,148.525.227.137
9,May-25,12.246.025.566.598,12.237.965.131.238,4.351.569.255.336,3.962.964.600.738,90.350.547.326,77.879.287.233,356.772.951.068,350.274.912.507,184.964.516.360,175.270.001.108
10,Jun-25,29.070.524.958.599,29.063.993.111.749,7.370.544.545.646,7.355.572.668.757,665.566.764.009,655.381.374.187,431.188.446.851,425.929.889.176,283.708.285.987,275.973.209.464
11,Jul-25,7.787.370.095.129,7.778.130.266.781,5.898.407.544.297,5.870.791.441.404,181.493.178.905,173.918.446.282,355.622.934.907,348.441.260.434,143.416.206.984,132.251.208.765
12,Aug-25,19.558.283.542.297,19.551.139.413.290,4.809.650.978.457,4.762.290.307.741,212.106.546.755,206.610.464.242,285.877.417.910,276.942.638.200,161.619.606.010,157.449.480.509
13,Sep-25,13.004.394.554.854,12.988.605.314.448,4.370.142.511.206,4.191.666.781.924,1.144.645.154.806,1.135.830.450.253,272.509.974.588,264.663.162.166,267.213.931.613,263.109.666.972
